freq,phAngle,power,reacPower,rmsCur,rmsVolt,value
50.000,51.684,16.000,18.375,99.500,220.698,Florasan
50.000,52.410,16.000,17.776,99.967,219.835,Florasan
50.0,90.000,0.000,1.332,59.100,237.708,Buzdolabi
50.0,90.000,0.000,-0.599,59.100,238.096,Buzdolabi
50.0,37.814,19.000,-35.353,89.367,227.032,Fan
50.0,37.814,19.000,-34.088,89.367,227.046,Fan
50.0,0,39.133,-1.665,0.167,234.186,Laptop
50.0,0,37.989,-1.457,0.162,234.066,Laptop
50.0,271,0.0,-5.176,0.021,226.257,Mikrodalga
50.0,271,0.103,-5.176,0.021,226.619,Mikrodalga
50.0,339,16.236,-6.973,0.075,233.477,Monitor
50.0,339,16.236,-6.973,0.075,233.669,Monitor
50.0,0,3.538,-1.04,0.015,232.105,Yazici
50.0,0,3.538,-1.04,0.015,232.291,Yazici
50.0,272,1.248,-44.233,0.185,238.623,Televizyon
50.0,272,1.248,-44.025,0.185,238.203,Televizyon
50.0,90.000,0.000,0.533,59.100,234.020,CihazBosta
50.0,90.000,0.000,0.533,59.100,234.028,CihazBosta
